timestamp,price_raw,implied_prob,volume,open_interest
2025-03-20 04:00:00+00:00,,,0,0
2025-03-21 04:00:00+00:00,,,0,0
2025-03-26 04:00:00+00:00,,,0,0
2025-03-28 04:00:00+00:00,,,0,0
2025-03-29 04:00:00+00:00,,,0,0
2025-03-30 04:00:00+00:00,18.0,0.18,403,403
2025-03-31 04:00:00+00:00,,,0,403
2025-04-01 04:00:00+00:00,,,0,403
2025-04-02 04:00:00+00:00,,,0,403
2025-04-04 04:00:00+00:00,,,0,403
2025-04-05 04:00:00+00:00,,,0,403
2025-04-08 04:00:00+00:00,,,0,403
2025-04-09 04:00:00+00:00,2.0,0.02,1,404
2025-04-10 04:00:00+00:00,,,0,404
2025-04-14 04:00:00+00:00,4.0,0.04,1,404
2025-04-15 04:00:00+00:00,,,0,404
2025-04-19 04:00:00+00:00,,,0,404
2025-04-22 04:00:00+00:00,,,0,404
2025-04-27 04:00:00+00:00,,,0,404
2025-04-28 04:00:00+00:00,,,0,404
2025-04-29 04:00:00+00:00,,,0,404
2025-05-01 04:00:00+00:00,,,0,404
2025-05-02 04:00:00+00:00,,,0,404
2025-05-04 04:00:00+00:00,,,0,404
2025-05-05 04:00:00+00:00,,,0,404
2025-05-07 04:00:00+00:00,,,0,404
2025-05-08 04:00:00+00:00,,,0,404
2025-05-09 04:00:00+00:00,,,0,404
2025-05-10 04:00:00+00:00,,,0,404
2025-05-11 04:00:00+00:00,,,0,404
2025-05-12 04:00:00+00:00,,,0,404
2025-05-13 04:00:00+00:00,,,0,404
2025-05-14 04:00:00+00:00,,,0,404
2025-05-15 04:00:00+00:00,,,0,404
2025-05-16 04:00:00+00:00,,,0,404
2025-05-17 04:00:00+00:00,,,0,404
2025-05-28 04:00:00+00:00,,,0,404
2025-05-29 04:00:00+00:00,,,0,404
2025-06-01 04:00:00+00:00,10.0,0.1,48,452
2025-06-02 04:00:00+00:00,,,0,452
2025-06-03 04:00:00+00:00,14.0,0.14,100,552
2025-06-04 04:00:00+00:00,13.0,0.13,30,577
2025-06-05 04:00:00+00:00,,,0,577
2025-06-06 04:00:00+00:00,,,0,577
2025-06-07 04:00:00+00:00,,,0,577
2025-06-08 04:00:00+00:00,,,0,577
2025-06-09 04:00:00+00:00,,,0,577
2025-06-10 04:00:00+00:00,,,0,577
2025-06-11 04:00:00+00:00,,,0,577
2025-06-12 04:00:00+00:00,13.0,0.13,53,626
2025-06-13 04:00:00+00:00,,,0,626
2025-06-14 04:00:00+00:00,,,0,626
2025-06-15 04:00:00+00:00,,,0,626
2025-06-16 04:00:00+00:00,,,0,626
2025-06-17 04:00:00+00:00,,,0,626
2025-06-18 04:00:00+00:00,,,0,626
2025-06-19 04:00:00+00:00,,,0,626
2025-06-20 04:00:00+00:00,,,0,626
2025-06-21 04:00:00+00:00,,,0,626
2025-06-22 04:00:00+00:00,,,0,626
2025-06-23 04:00:00+00:00,7.0,0.07,1,627
2025-06-24 04:00:00+00:00,,,0,627
2025-06-25 04:00:00+00:00,,,0,627
2025-06-26 04:00:00+00:00,7.0,0.07,74,664
2025-06-27 04:00:00+00:00,13.0,0.13,78,742
2025-06-28 04:00:00+00:00,,,0,742
2025-06-29 04:00:00+00:00,20.0,0.2,352,1094
2025-06-30 04:00:00+00:00,20.0,0.2,220,1314
2025-07-01 04:00:00+00:00,19.0,0.19,238,1552
2025-07-02 04:00:00+00:00,,,0,1552
2025-07-03 04:00:00+00:00,19.0,0.19,9,1561
2025-07-04 04:00:00+00:00,20.0,0.2,225,1786
2025-07-05 04:00:00+00:00,,,0,1786
2025-07-06 04:00:00+00:00,26.0,0.26,6,1792
2025-07-07 04:00:00+00:00,,,0,1792
2025-07-08 04:00:00+00:00,,,0,1792
2025-07-09 04:00:00+00:00,23.0,0.23,10,1792
2025-07-10 04:00:00+00:00,22.0,0.22,498,2290
2025-07-11 04:00:00+00:00,20.0,0.2,3,2293
2025-07-12 04:00:00+00:00,,,0,2293
2025-07-13 04:00:00+00:00,,,0,2293
2025-07-14 04:00:00+00:00,,,0,2293
