timestamp,price_raw,implied_prob,volume,open_interest
2025-08-06 04:00:00+00:00,,,0,0
2025-08-07 04:00:00+00:00,,,0,0
2025-08-08 04:00:00+00:00,,,0,0
2025-08-09 04:00:00+00:00,,,0,0
2025-08-10 04:00:00+00:00,,,0,0
2025-08-11 04:00:00+00:00,,,0,0
2025-08-12 04:00:00+00:00,33.0,0.33,100,100
2025-08-13 04:00:00+00:00,,,0,100
2025-08-14 04:00:00+00:00,,,0,100
2025-08-15 04:00:00+00:00,,,0,100
2025-08-16 04:00:00+00:00,,,0,100
2025-08-17 04:00:00+00:00,,,0,100
2025-08-18 04:00:00+00:00,,,0,100
2025-08-19 04:00:00+00:00,33.0,0.33,200,300
2025-08-20 04:00:00+00:00,32.0,0.32,15,315
2025-08-21 04:00:00+00:00,,,0,315
2025-08-22 04:00:00+00:00,,,0,315
2025-08-23 04:00:00+00:00,31.0,0.31,290,605
2025-08-24 04:00:00+00:00,,,0,605
2025-08-25 04:00:00+00:00,,,0,605
2025-08-26 04:00:00+00:00,,,0,605
2025-08-27 04:00:00+00:00,,,0,605
2025-08-28 04:00:00+00:00,,,0,605
2025-08-29 04:00:00+00:00,,,0,605
2025-08-30 04:00:00+00:00,,,0,605
2025-08-31 04:00:00+00:00,,,0,605
2025-09-01 04:00:00+00:00,,,0,605
2025-09-02 04:00:00+00:00,,,0,605
2025-09-03 04:00:00+00:00,,,0,605
2025-09-04 04:00:00+00:00,,,0,605
2025-09-05 04:00:00+00:00,,,0,605
2025-09-06 04:00:00+00:00,27.0,0.27,5,600
2025-09-07 04:00:00+00:00,,,0,600
2025-09-08 04:00:00+00:00,,,0,600
2025-09-09 04:00:00+00:00,,,0,600
2025-09-10 04:00:00+00:00,,,0,600
2025-09-11 04:00:00+00:00,,,0,600
2025-09-12 04:00:00+00:00,,,0,600
2025-09-13 04:00:00+00:00,32.0,0.32,90,600
2025-09-14 04:00:00+00:00,,,0,600
2025-09-15 04:00:00+00:00,,,0,600
2025-09-16 04:00:00+00:00,,,0,600
2025-09-17 04:00:00+00:00,,,0,600
2025-09-18 04:00:00+00:00,21.0,0.21,3394,3680
2025-09-19 04:00:00+00:00,,,0,3680
2025-09-20 04:00:00+00:00,21.0,0.21,50,3730
2025-09-21 04:00:00+00:00,,,0,3730
2025-09-22 04:00:00+00:00,,,0,3730
2025-09-23 04:00:00+00:00,,,0,3730
2025-09-24 04:00:00+00:00,16.0,0.16,5000,8730
2025-09-25 04:00:00+00:00,20.0,0.2,468,9198
2025-09-26 04:00:00+00:00,28.0,0.28,3578,12776
2025-09-27 04:00:00+00:00,,,0,12776
2025-09-28 04:00:00+00:00,,,0,12776
2025-09-29 04:00:00+00:00,,,0,12776
2025-09-30 04:00:00+00:00,,,0,12776
2025-10-01 04:00:00+00:00,,,0,12776
2025-10-02 04:00:00+00:00,19.0,0.19,132,12784
2025-10-03 04:00:00+00:00,,,0,12784
2025-10-04 04:00:00+00:00,,,0,12784
2025-10-05 04:00:00+00:00,23.0,0.23,103,12784
2025-10-06 04:00:00+00:00,,,0,12784
2025-10-07 04:00:00+00:00,22.0,0.22,800,12784
2025-10-08 04:00:00+00:00,24.0,0.24,1380,12734
2025-10-09 04:00:00+00:00,24.0,0.24,71,12663
2025-10-10 04:00:00+00:00,,,0,12663
2025-10-11 04:00:00+00:00,21.0,0.21,458,12663
2025-10-12 04:00:00+00:00,21.0,0.21,8,12663
2025-10-13 04:00:00+00:00,,,0,12663
2025-10-14 04:00:00+00:00,,,0,12663
2025-10-15 04:00:00+00:00,18.0,0.18,50,12713
2025-10-16 04:00:00+00:00,15.0,0.15,2438,12634
2025-10-17 04:00:00+00:00,12.0,0.12,3194,13880
2025-10-18 04:00:00+00:00,12.0,0.12,2587,16417
2025-10-19 04:00:00+00:00,10.0,0.1,2,16419
2025-10-20 04:00:00+00:00,,,0,16419
2025-10-21 04:00:00+00:00,10.0,0.1,499,16419
2025-10-22 04:00:00+00:00,10.0,0.1,1,16419
2025-10-23 04:00:00+00:00,,,0,16419
2025-10-24 04:00:00+00:00,14.0,0.14,11317,26211
2025-10-25 04:00:00+00:00,10.0,0.1,3141,26070
2025-10-26 04:00:00+00:00,10.0,0.1,1000,26070
2025-10-27 04:00:00+00:00,10.0,0.1,94,26070
2025-10-28 04:00:00+00:00,9.0,0.09,32028,57940
2025-10-29 04:00:00+00:00,15.0,0.15,31192,87498
2025-10-30 04:00:00+00:00,30.0,0.3,143371,160841
2025-10-31 04:00:00+00:00,27.0,0.27,87815,215727
2025-11-01 04:00:00+00:00,32.0,0.32,229141,422803
2025-11-02 04:00:00+00:00,32.0,0.32,27316,440759
2025-11-03 04:00:00+00:00,,,0,445649
2025-11-04 05:00:00+00:00,31.0,0.31,36014,446019
2025-11-05 05:00:00+00:00,28.0,0.28,68093,460888
2025-11-06 05:00:00+00:00,31.0,0.31,200855,538005
2025-11-07 05:00:00+00:00,25.0,0.25,134475,526682
2025-11-08 05:00:00+00:00,27.0,0.27,119928,590928
2025-11-09 05:00:00+00:00,26.0,0.26,28642,583262
2025-11-10 05:00:00+00:00,27.0,0.27,31001,600024
2025-11-11 05:00:00+00:00,30.0,0.3,62234,608818
2025-11-12 05:00:00+00:00,28.0,0.28,109770,652406
2025-11-13 05:00:00+00:00,34.0,0.34,171392,758895
2025-11-14 05:00:00+00:00,49.0,0.49,537733,1110296
2025-11-15 05:00:00+00:00,53.0,0.53,452816,1276883
2025-11-16 05:00:00+00:00,52.0,0.52,38664,1307009
